Dist. Uniforme	Dist. Gaussiana
7	-27.7802
6	5.09097
5	-33.2781
0	2.43394
10	3.17497
3	-13.4302
5	8.00891
7	-9.73476
7	-27.9835
5	-6.17411
5	14.4039
10	-26.2133
0	-24.5597
2	-7.61582
0	20.8003
8	21.2579
5	-14.3027
10	-1.47995
5	13.1026
3	-3.66327
9	-8.75655
10	0.821034
1	-16.5368
2	-25.402
9	5.6146
10	-22.0026
7	-19.9541
5	-11.5756
6	-24.9446
7	-20.6815
5	4.5375
2	-35.1032
4	-10.6335
8	-3.43964
8	-26.2895
1	26.1949
10	-24.6503
1	-4.24577
3	-17.2847
4	-20.0655
4	27.246
10	-4.29183
7	-34.9156
10	-28.859
10	-29.5907
3	-50.6351
9	-12.116
6	-7.63972
9	-2.47295
3	-41.3644
9	-21.6723
4	-10.3341
2	4.30761
10	-38.6804
9	-64.1311
6	-10.0965
9	-11.3592
10	0.348573
9	7.77228
1	-25.7882
1	-20.4019
3	-0.327511
5	0.190867
7	-34.116
7	-14.1082
0	-14.0009
8	3.90071
4	-35.4777
5	-38.8497
9	-14.0718
7	-41.379
1	26.198
9	0.154632
9	-4.33259
6	4.57767
1	-6.52468
8	-2.70076
5	-21.9984
1	-32.4426
3	3.82194
10	-8.93988
4	-1.1971
10	-12.0033
10	-31.2641
5	-16.2551
5	3.34479
5	-5.81013
4	-2.2255
5	2.2586
5	-7.49223
3	33.0369
2	-13.603
5	4.44758
7	-34.4001
5	-7.18843
8	-25.9802
0	-12.9254
10	-4.39454
1	-6.16327
0	-13.9149
5	-13.3725
6	-21.7683
7	5.59786
7	-21.2341
4	-2.41
2	-8.17032
6	15.1742
6	-19.9666
10	-22.4761
0	-21.4236
10	12.6287
10	-7.746
7	-17.2847
2	13.2597
8	7.47366
9	10.4949
7	-26.2003
9	-12.092
0	-9.33646
4	-9.74627
4	-7.38235
10	-25.3711
7	-16.5359
10	-12.458
7	2.13306
7	-6.92208
5	-30.3597
4	29.0666
5	-13.7225
9	-26.2127
7	-6.32597
9	-6.14749
7	10.2782
6	2.25516
8	-12.4119
0	35.4752
0	-4.44314
1	-29.7993
9	3.35813
0	10.2386
3	-31.1259
4	-3.15118
4	-10.0068
4	-30.3151
2	-10.0491
9	-6.83657
9	0.0323668
0	12.223
3	-12.8173
4	-16.3645
4	-1.98341
3	-48.7391
5	-14.6784
1	-12.1547
7	11.403
7	0.443383
4	-2.90309
1	15.6193
7	-15.797
2	11.269
10	-34.1575
4	-16.9881
4	-24.8798
7	-16.2498
1	-11.0649
4	-29.9328
1	-15.8185
8	-3.27387
1	34.5237
2	2.90875
1	-9.5558
0	15.5892
6	-28.8245
4	-15.0248
9	16.0274
8	-4.98006
10	-24.1042
3	-9.14594
0	-22.5699
7	-3.32731
5	-23.5007
8	-27.1483
3	-17.3179
2	5.14187
1	-16.3
10	-7.16995
10	-25.1002
4	-19.8749
2	-12.2009
4	-3.24188
3	12.5829
6	1.55596
3	-6.73578
6	21.135
10	-4.02941
4	10.5576
9	-4.7207
10	3.76669
3	0.166944
9	-26.6628
2	-31.0663
3	-21.9364
3	-8.45225
9	14.5697
3	-11.9799
9	15.1024
8	-8.93759
6	-7.70221
6	-4.91122
10	11.5369
6	-8.48462
5	-35.4168
3	5.87525
7	-2.48078
9	-0.958604
7	-14.3407
6	-34.5317
2	-9.18685
2	-19.7035
7	-35.6115
10	-9.63436
8	-0.104669
7	-3.35041
7	-18.5028
8	-8.72424
9	-13.0798
5	-32.3948
0	-29.1175
0	-17.9101
1	-4.51939
5	-2.02526
10	-8.81848
6	-34.7321
9	11.8563
3	9.33205
6	-29.0518
3	7.69982
9	-10.5839
5	-23.643
7	2.09874
1	-4.031
5	-15.2067
10	26.8132
5	0.525963
0	-1.09023
9	-1.42815
10	2.53924
8	18.6365
2	-38.8601
9	2.48577
3	-13.4916
1	7.14638
1	-24.393
4	21.8915
2	24.7013
4	2.04521
0	-34.056
6	-20.4009
6	-5.74186
3	-19.1257
3	-11.817
5	8.33329
1	-39.0195
5	14.0783
5	5.95142
4	9.05902
8	-21.048
8	-5.81157
7	-7.15922
9	2.15543
6	3.05091
2	2.78115
9	-4.47652
2	14.1184
1	4.28957
10	8.12439
7	-0.309013
2	8.9701
9	-24.0664
0	-8.05106
6	-6.23933
7	-5.48863
3	-5.09423
6	-19.3918
1	-38.0588
10	7.16203
9	2.48932
6	7.9586
3	7.21703
9	6.59893
4	11.3249
3	-2.59264
8	-15.228
3	3.74666
1	21.0855
10	-6.91693
7	45.9383
0	-18.3027
6	-4.42142
8	-0.385098
6	31.0347
